127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "GET /bodgeit/search.jsp?q=ZAP HTTP/1.1" 200 2017
127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "GET /bodgeit/product.jsp?prodid=16 HTTP/1.1" 200 3386
127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "GET /bodgeit/product.jsp?prodid=14 HTTP/1.1" 200 3270
127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "GET /bodgeit/product.jsp?prodid=5 HTTP/1.1" 200 3548
127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "GET /bodgeit/product.jsp?prodid=29 HTTP/1.1" 200 3244
127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "GET /bodgeit/product.jsp?prodid=7 HTTP/1.1" 200 3398
127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "GET /bodgeit/product.jsp?prodid=30 HTTP/1.1" 200 3434
127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "GET /bodgeit/product.jsp?prodid=32 HTTP/1.1" 200 3353
127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "GET /bodgeit/product.jsp?prodid=31 HTTP/1.1" 200 3518
127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "GET /bodgeit/product.jsp?prodid=17 HTTP/1.1" 200 3513
127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "GET /bodgeit/product.jsp?prodid=20 HTTP/1.1" 200 3431
127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "GET /bodgeit/product.jsp?prodid=21 HTTP/1.1" 200 3475
127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "GET /bodgeit/product.jsp?prodid=2 HTTP/1.1" 200 3356
127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "GET /bodgeit/images/129.png HTTP/1.1" 200 434
127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "GET /bodgeit/images/130.png HTTP/1.1" 200 343
127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "POST /bodgeit/basket.jsp HTTP/1.1" 200 3271
127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "POST /bodgeit/basket.jsp HTTP/1.1" 200 3270
127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "POST /bodgeit/basket.jsp HTTP/1.1" 200 3271
127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "POST /bodgeit/basket.jsp HTTP/1.1" 200 3275
127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "POST /bodgeit/basket.jsp HTTP/1.1" 200 3271
127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "POST /bodgeit/basket.jsp HTTP/1.1" 200 3268
127.0.0.1 - - [20/Mar/2017:12:47:32 +1300] "POST /bodgeit/basket.jsp HTTP/1.1" 200 3281
127.0.0.1 - - [20/Mar/2017:12:47:33 +1300] "POST /bodgeit/basket.jsp HTTP/1.1" 200 3271
127.0.0.1 - - [20/Mar/2017:12:47:33 +1300] "POST /bodgeit/basket.jsp HTTP/1.1" 200 3271
127.0.0.1 - - [20/Mar/2017:12:47:33 +1300] "POST /bodgeit/basket.jsp HTTP/1.1" 200 3281
127.0.0.1 - - [20/Mar/2017:12:47:33 +1300] "POST /bodgeit/basket.jsp HTTP/1.1" 200 3270
